Godzilla_vs_Doge William_Halsey Action CGV
Back_to_The_Past George_Best Sci-fi CGV
Train_to_Gerlong Gerald_Ford Horror XXI
How_to_Train_Your_Kitty William_Halsey Comedy CGV
Kimi_no_Nawa Makoto_Shinkai Fantasy XXI
Shigatsu_wa_Kimi_no_Uso Takehiko_Shinjou Romance E-Plaza
Tada,_Kimi_wo_Aishiteru Takehiko_Shinjou Romance Cinepolis
Weathering_with_You Makoto_Shinkai Fantasy CGV
Interstellar Christopher_Nolan Sci-fi Cineplex
The_Dark_Knight Christopher_Nolan Action Cinepolis
Mickey_Mouse William_Halsey Sci-fi XXI
Spongebob Gerald_Ford Comedy E-Plaza
Ikatan_Cinta Makoto_Shinkai Horror Cineplex
superman William_Halsey Action CGV
#### #### #### ####
